transaction_id,transaction_date,vendor_name,category,amount,transaction_year
5,2020-01-01,"American Airlines",Travel,2019.68,2020
6,2020-01-01,Expensify,Software,50.00,2020
4,2020-01-01,Mailchimp,Marketing,NULL,2020
3,2020-01-01,Notion,Software,NULL,2020
7,2020-01-01,"Office Depot","Office Supplies",408.00,2020
1,2020-01-01,Slack,Software,87.00,2020
8,2020-01-01,Stripe,Software,59.00,2020
2,2020-01-01,Zoom,Software,149.00,2020
10,2020-01-02,Asana,Software,NULL,2020
11,2020-01-02,HubSpot,Marketing,499.86,2020
9,2020-01-02,WeWork,Rent,3200.00,2020
17,2020-01-03,"American Airlines",Travel,2822.63,2020
16,2020-01-03,"Google Ads",Marketing,1799.00,2020
18,2020-01-03,HubSpot,Marketing,983.30,2020
14,2020-01-03,Mailchimp,Marketing,299.00,2020
12,2020-01-03,Microsoft,Software,440.00,2020
13,2020-01-03,Notion,Software,NULL,2020
15,2020-01-03,Slack,Software,87.00,2020
22,2020-01-04,"American Airlines",Travel,1081.10,2020
20,2020-01-04,"Office Depot","Office Supplies",394.72,2020
23,2020-01-04,QuickBooks,Software,109.65,2020
19,2020-01-04,QuickBooks,Software,139.00,2020
21,2020-01-04,Salesforce,Software,NULL,2020
28,2020-01-05,Asana,Software,34.50,2020
30,2020-01-05,DHL,Shipping,187.00,2020
29,2020-01-05,Dropbox,Software,17.51,2020
26,2020-01-05,Dropbox,Software,19.94,2020
24,2020-01-05,HubSpot,Marketing,831.20,2020
25,2020-01-05,Notion,Software,16.00,2020
31,2020-01-05,"Office Depot","Office Supplies",NULL,2020
27,2020-01-05,Zoom,Software,149.00,2020
33,2020-01-06,Dropbox,Software,22.62,2020
32,2020-01-06,Expensify,Software,50.00,2020
34,2020-01-06,QuickBooks,Software,88.80,2020
35,2020-01-06,Zoom,Software,149.00,2020
41,2020-01-07,HubSpot,Marketing,1004.00,2020
37,2020-01-07,Microsoft,Software,233.81,2020
36,2020-01-07,Salesforce,Software,NULL,2020
42,2020-01-07,Staples,"Office Supplies",398.30,2020
40,2020-01-07,Stripe,Software,59.00,2020
38,2020-01-07,WeWork,Rent,3200.00,2020
39,2020-01-07,Zoom,Software,149.00,2020
45,2020-01-08,Amazon,"Office Supplies",234.89,2020
44,2020-01-08,Amazon,"Office Supplies",1217.79,2020
47,2020-01-08,Dropbox,Software,17.38,2020
